Date,Open,High,Low,Close,Volume,Adj Close
2017-03-27,13.35,13.87,13.21,13.71,39106900,13.71
2017-03-20,13.68,14.50,13.54,13.70,63638500,13.70
2017-03-13,14.48,14.68,13.36,13.49,88556600,13.49
2017-03-06,13.00,13.93,12.38,13.91,74377300,13.91
2017-02-27,14.27,15.55,12.79,13.03,115283000,13.03
2017-02-21,13.41,14.50,13.40,14.12,65772800,14.12
2017-02-13,13.70,13.95,12.60,13.13,44873300,13.13
2017-02-06,12.46,14.27,12.38,13.58,100184300,13.58
2017-01-30,10.62,12.66,10.22,12.24,85668600,12.24
2017-01-23,9.68,10.98,9.68,10.67,40360600,10.67
2017-01-17,10.17,10.25,9.42,9.75,48947300,9.75
2017-01-09,11.37,11.64,10.33,10.58,43802600,10.58
2017-01-03,11.42,11.69,11.02,11.32,42204500,11.32
2016-12-27,11.65,12.42,11.01,11.34,52308700,11.34
2016-12-19,10.81,11.75,10.52,11.58,43486300,11.58
2016-12-12,10.40,11.23,10.27,10.66,56416200,10.66
2016-12-05,8.69,10.66,8.45,10.34,68533500,10.34
2016-11-28,8.72,9.23,8.26,8.53,43119500,8.53
2016-11-21,8.87,9.22,8.50,8.77,46339000,8.77
2016-11-14,6.83,8.83,6.61,8.71,64496100,8.71
2016-11-07,6.79,7.18,6.22,6.69,44804300,6.69
2016-10-31,7.24,7.46,6.46,6.56,36334700,6.56
2016-10-24,6.57,7.53,6.54,7.20,58854200,7.20
2016-10-17,6.92,6.98,6.37,6.52,41569500,6.52
2016-10-10,6.82,7.12,6.24,6.75,35448000,6.75
2016-10-03,6.95,7.15,6.62,6.75,29516200,6.75
2016-09-26,6.54,7.04,6.29,6.91,33197800,6.91
2016-09-19,6.12,6.65,6.08,6.55,39429700,6.55
2016-09-12,5.83,6.22,5.66,6.05,58716700,6.05
2016-09-06,7.56,7.60,5.85,5.90,86089800,5.90
2016-08-29,7.72,7.79,7.09,7.51,18527200,7.51
2016-08-22,7.83,7.95,7.20,7.67,27966600,7.67
2016-08-15,6.79,8.00,6.61,7.62,34962400,7.62
2016-08-08,6.70,6.85,6.25,6.73,21202400,6.73
2016-08-01,6.89,6.92,6.15,6.61,26785600,6.61
2016-07-25,5.93,7.16,5.92,6.86,57644500,6.86
2016-07-18,5.19,5.97,5.10,5.84,44848300,5.84
2016-07-11,5.13,5.24,5.00,5.14,18032400,5.14
2016-07-05,5.03,5.15,4.82,5.10,19919900,5.10
