Date,Open,High,Low,Close,Volume,Adj Close
2017-03-27,20488.349609,20735.609375,20412.800781,20659.320312,269123300,20659.320312
2017-03-20,20916.269531,20970.039062,20529.669922,20596.720703,304210000,20596.720703
2017-03-13,20899.279297,21000.109375,20786.310547,20914.619141,328462000,20914.619141
2017-03-06,20955.710938,20986.429688,20777.160156,20902.980469,285884000,20902.980469
2017-02-27,20808.710938,21169.109375,20774.759766,21005.710938,312580000,21005.710938
2017-02-21,20663.429688,20840.699219,20663.369141,20821.759766,310515000,20821.759766
2017-02-13,20338.539062,20639.869141,20322.949219,20624.050781,350064000,20624.050781
2017-02-06,20025.609375,20298.210938,20002.810547,20269.369141,295868000,20269.369141
2017-01-30,20028.619141,20081.480469,19784.769531,20071.460938,361828000,20071.460938
2017-01-23,19794.789062,20125.580078,19732.359375,20093.779297,354650000,20093.779297
2017-01-17,19848.820312,19882.990234,19677.939453,19827.25,339667500,19827.25
2017-01-09,19931.410156,19973.419922,19770.470703,19885.730469,298538000,19885.730469
2017-01-03,19872.859375,19999.630859,19775.929688,19963.800781,291702500,19963.800781
2016-12-27,19943.460938,19981.109375,19718.669922,19762.599609,197710000,19762.599609
2016-12-19,19836.660156,19987.630859,19832.949219,19933.810547,251916000,19933.810547
2016-12-12,19770.199219,19966.429688,19747.740234,19843.410156,412266000,19843.410156
2016-12-05,19244.349609,19757.740234,19184.740234,19756.849609,329400000,19756.849609
2016-11-28,19122.140625,19225.289062,19062.220703,19170.419922,105652000,19170.419922
2016-11-21,18898.679688,19152.140625,18883.099609,19152.140625,72400000,19152.140625
2016-11-14,18876.769531,18934.050781,18806.060547,18867.929688,100010000,18867.929688
2016-11-07,17994.640625,18873.660156,17994.640625,18847.660156,123614000,18847.660156
2016-10-31,18176.599609,18193.679688,17883.560547,17888.279297,95118000,17888.279297
2016-10-24,18197.140625,18275.039062,18062.300781,18161.189453,89890000,18161.189453
2016-10-17,18135.849609,18252.199219,18049.769531,18145.710938,89048000,18145.710938
2016-10-10,18282.949219,18399.960938,17959.949219,18138.380859,80632000,18138.380859
2016-10-03,18279.599609,18319.730469,18116.259766,18240.490234,77152000,18240.490234
2016-09-26,18217.759766,18369.619141,18052.160156,18308.150391,101728000,18308.150391
2016-09-19,18154.820312,18449.880859,18093.050781,18261.449219,80966000,18261.449219
2016-09-12,18028.949219,18358.689453,17992.210938,18123.800781,137502000,18123.800781
